_id,latest_count_id,latest_count_type,latest_count_date_start,latest_count_date_end,latest_count_duration,location_name,longitude,latitude,centreline_id,avg_daily_vol,avg_weekday_daily_vol,avg_weekend_daily_vol,avg_wkdy_am_peak_start,avg_wkdy_am_peak_vol,avg_wkdy_pm_peak_start,avg_wkdy_pm_peak_vol,avg_speed,avg_85th_percentile_speed,avg_95th_percentile_speed,avg_heavy_pct
26,3015632,ATR_SPEED_VOLUME,2026-03-10,2026-03-12,72,Savarin St: Danforth Rd - Thicketwood Dr,-79.24309555052952,43.74290929080568,14669105,486.3,486.3,,08:00:00,68,14:45:00,56,31.7,39.9,46.2,
27,3015643,ATR_SPEED_VOLUME,2026-03-10,2026-03-12,72,Southlawn Dr: Buena Vista Ave - Belgreen Ave,-79.29170500000001,43.796220000000005,105501,526.3,526.3,,08:15:00,90,14:45:00,70,33.8,42.1,46.6,
28,3015648,ATR_SPEED_VOLUME,2026-03-10,2026-03-12,72,Bestview Dr: Kentland Cres - Sydnor Rd,-79.38666500000001,43.80292,9467747,467.3,467.3,,08:15:00,71,15:15:00,56,34.2,43.8,49.5,
29,3015649,ATR_SPEED_VOLUME,2026-03-10,2026-03-12,72,Bestview Dr: Bestview Park Trl - Harrington Cres,-79.38369760479156,43.8037021556876,30005142,1067.3,1067.3,,08:15:00,149,15:15:00,125,37.1,43.9,48.9,
30,3015656,ATR_SPEED_VOLUME,2026-03-10,2026-03-12,72,Brenthall Ave: Dromore Cres - Bathurst St,-79.44234500000002,43.77474000000001,438367,2118.7,2118.7,,08:15:00,307,15:30:00,252,31,39.9,46.3,
31,3015618,ATR_SPEED_VOLUME,2026-03-03,2026-03-05,72,Widdicombe Hill Blvd: Denfield St - Richview Park Trl,-79.55596761483578,43.67796264707147,30092357,5694.7,5694.7,,08:00:00,546,14:45:00,554,46,54,63.4,
32,3015592,ATR_SPEED_VOLUME,2026-03-03,2026-03-05,72,Warnica Ave: Stock Ave - Culnan Ave,-79.52565000000001,43.623225000000005,913360,1696,1696,,08:00:00,114,17:00:00,162,39.7,47.6,53.6,
33,3015611,ATR_SPEED_VOLUME,2026-03-03,2026-03-05,72,Monogram Pl to Islington Ave,-79.55288075042772,43.70432209063038,908243,130.7,130.7,,06:30:00,19,14:15:00,24,29.9,43.2,52.5,
34,3015619,ATR_SPEED_VOLUME,2026-03-03,2026-03-05,72,Berry Rd: Bell Manor Dr - Cloverhill Rd,-79.48981500000001,43.63694,7985486,3031.7,3031.7,,08:00:00,262,17:30:00,271,38.6,47.4,53.4,
35,3015593,ATR_SPEED_VOLUME,2026-03-03,2026-03-05,72,Warnica Ave: Trueman Ave - Brawley Ave,-79.523335,43.623745,913337,1560.7,1560.7,,08:00:00,113,17:15:00,153,34.2,39.8,48.2,
36,3015574,ATR_SPEED_VOLUME,2026-02-24,2026-02-26,72,Cherry St: Polson St - Commissioners St,-79.35302546696002,43.64422260701794,30137972,5445,5445,,09:15:00,359,14:00:00,353,37.2,47.8,54.4,
37,3015621,ATR_SPEED_VOLUME,2026-02-24,2026-02-26,72,Driftwood Ave: Driftwood Crt - Jane St,-79.5171838619509,43.7664585458398,439447,4866.7,4866.7,,08:15:00,418,14:45:00,405,34.1,42.5,46.9,
38,3015576,ATR_SPEED_VOLUME,2026-02-24,2026-02-26,72,Commissioners St: Carlaw Ave - Leslie St,-79.33094091957128,43.65456717471886,8353636,5480.7,5480.7,,08:00:00,601,14:30:00,368,40.5,50,64.5,
39,3015577,ATR_SPEED_VOLUME,2026-02-24,2026-02-26,72,Commissioners St: Munition St - Don Roadway,-79.34809186996625,43.64719557733328,60017064,4846.7,4846.7,,08:15:00,388,16:45:00,378,48.3,56.3,62.7,
40,3015575,ATR_SPEED_VOLUME,2026-02-24,2026-02-26,72,Unwin Ave: Tommy Thompson Pk - Leslie St,-79.32690921789236,43.65063336833972,60032913,1282.7,1282.7,,09:15:00,96,14:00:00,103,45.2,58.1,68.3,
41,3015578,ATR_SPEED_VOLUME,2026-02-24,2026-02-26,72,Unwin Ave: Martin Goodman Trl - Cherry Beach Sports Fields Trl,-79.34519606995309,43.63987183332028,30067250,1754,1754,,09:00:00,137,14:00:00,102,30.9,39.8,46.8,
42,3015537,ATR_SPEED_VOLUME,2026-02-10,2026-02-12,72,Whaley Dr: Brown's Line - Gair Dr,-79.54888000000001,43.606235,914245,897.7,897.7,,08:00:00,74,17:15:00,79,36.8,46.2,52.9,
43,3015520,ATR_SPEED_VOLUME,2026-02-10,2026-02-12,72,Keele St: Walkway N of Gulliver and W of Keele - Flamborough Dr,-79.47655,43.70209,20045699,25556.3,25556.3,,08:15:00,1684,16:45:00,1861,46,54.4,61.2,
44,3015506,ATR_SPEED_VOLUME,2026-02-10,2026-02-12,72,Milner Ave: Burrows Hall Blvd - Murison Park Trl,-79.21145197667882,43.795994919489054,105509,6992.7,6992.7,,08:00:00,828,16:30:00,562,50.8,58.5,63.7,
45,3015418,ATR_SPEED_VOLUME,2026-02-03,2026-02-05,72,Wilson Ave: Delahaye St - Allingham Gdns,-79.44228000000001,43.735645000000005,9879309,23576.7,23576.7,,08:15:00,1416,17:00:00,1783,42.4,53.8,59.3,
46,3015493,ATR_SPEED_VOLUME,2026-02-03,2026-02-05,72,Greenwood Ave: Dundas St E - Athletic Ave,-79.327025,43.668525,7795924,8168.3,8168.3,,08:15:00,619,17:00:00,646,36.1,43.9,53.6,
47,3015491,ATR_SPEED_VOLUME,2026-02-03,2026-02-05,72,Greenwood Ave: Walpole Ave - Torbrick Rd,-79.32949,43.674505,1141224,9970,9970,,08:15:00,775,17:15:00,784,38.7,44.6,49.2,
48,3015417,ATR_SPEED_VOLUME,2026-02-03,2026-02-05,72,Wilson Ave: Hwy 401 Collectors W / Wilson Av Ramp - Laurentia Cres,-79.43891,43.736355,8005700,24115.3,24115.3,,08:30:00,1485,16:15:00,1812,40.9,53,59.5,
49,3015416,ATR_SPEED_VOLUME,2026-02-03,2026-02-05,72,Old York Mills Rd: York Mills Park Trl - Campbell Cres,-79.4048607620453,43.74359483670459,30005914,2361.7,2361.7,,07:45:00,334,17:00:00,257,23.9,34.5,46.3,
